scene	timestamp	event	event_key	x_coord	y_coord	key_code	key_name	description	
part2part2	201385	LeftMouseClick	None	974	285	None	None	None
part2part2	201802	LeftMouseClick	None	974	291	None	None	None
part2part2	205358	LeftMouseClick	None	1058	147	None	None	None
part2part2	207604	LeftMouseClick	None	1032	462	None	None	None
part2part2	208363	LeftMouseClick	None	1032	462	None	None	None
part2part2	215925	LeftMouseClick	None	566	120	None	None	None
part2part2	227302	LeftMouseClick	None	661	119	None	None	None
part2part2	233156	LeftMouseClick	None	873	261	None	None	None
part2part2	249605	LeftMouseClick	None	411	124	None	None	None
part2part2	255309	LeftMouseClick	None	1025	507	None	None	None
part2part2	255917	LeftMouseClick	None	1025	507	None	None	None
part2part2	256426	LeftMouseClick	None	1025	507	None	None	None
part2part2	257366	LeftMouseClick	None	1030	496	None	None	None
part2part2	258273	LeftMouseClick	None	701	518	None	None	None
part2part2	261714	LeftMouseClick	None	541	114	None	None	None
part2part2	265245	LeftMouseClick	None	677	118	None	None	None
part2part2	271558	LeftMouseClick	None	401	112	None	None	None
part2part2	281757	LeftMouseClick	None	570	107	None	None	None
part2part2	284391	LeftMouseClick	None	644	104	None	None	None
part2part2	285964	LeftMouseClick	None	426	106	None	None	None
part2part2	287171	LeftMouseClick	None	532	334	None	None	None
part2part2	288005	LeftMouseClick	None	542	130	None	None	None
part2part2	295634	LeftMouseClick	None	420	124	None	None	None
part2part2	297441	LeftMouseClick	None	517	118	None	None	None
part2part2	301277	LeftMouseClick	None	471	326	None	None	None
part2part2	302179	LeftMouseClick	None	668	117	None	None	None
part2part2	310156	LeftMouseClick	None	531	336	None	None	None
part2part2	320268	LeftMouseClick	None	1005	17	None	None	None
part2part2	323016	LeftMouseClick	None	589	225	None	None	None
part2part2	325147	LeftMouseClick	None	527	179	None	None	None
part2part2	326189	KeyPress	None	None	None	None	Decimal	None
part2part2	326189	KeyPress	None	None	None	None	NumPad3	None
part2part2	326397	KeyPress	None	None	None	None	NumPad4	None
part2part2	327887	KeyPress	None	None	None	None	Back	None
part2part2	328077	KeyPress	None	None	None	None	Back	None
part2part2	328195	KeyPress	None	None	None	None	Back	None
part2part2	328311	KeyPress	None	None	None	None	Back	None
part2part2	328420	KeyPress	None	None	None	None	Back	None
part2part2	329087	KeyPress	None	None	None	None	NumPad3	None
part2part2	329279	KeyPress	None	None	None	None	NumPad4	None
part2part2	330178	KeyPress	None	None	None	None	Tab	None
part2part2	333549	KeyPress	None	None	None	None	M	None
part2part2	333708	KeyPress	None	None	None	None	A	None
part2part2	333792	KeyPress	None	None	None	None	N	None
part2part2	333941	KeyPress	None	None	None	None	A	None
part2part2	334079	KeyPress	None	None	None	None	G	None
part2part2	334299	KeyPress	None	None	None	None	E	None
part2part2	334383	KeyPress	None	None	None	None	R	None
part2part2	335298	KeyPress	None	None	None	None	Oemcomma	None
part2part2	335399	KeyPress	None	None	None	None	Space	None
part2part2	335698	KeyPress	None	None	None	None	Y	None
part2part2	335773	KeyPress	None	None	None	None	O	None
part2part2	335931	KeyPress	None	None	None	None	G	None
part2part2	336048	KeyPress	None	None	None	None	A	None
part2part2	336682	KeyPress	None	None	None	None	Space	None
part2part2	336911	KeyPress	None	None	None	None	A	None
part2part2	337043	KeyPress	None	None	None	None	N	None
part2part2	337128	KeyPress	None	None	None	None	D	None
part2part2	337206	KeyPress	None	None	None	None	Space	None
part2part2	337423	KeyPress	None	None	None	None	F	None
part2part2	337512	KeyPress	None	None	None	None	O	None
part2part2	337789	KeyPress	None	None	None	None	Back	None
part2part2	337913	KeyPress	None	None	None	None	Back	None
part2part2	338163	KeyPress	None	None	None	None	G	None
part2part2	338272	KeyPress	None	None	None	None	O	None
part2part2	338439	KeyPress	None	None	None	None	L	None
part2part2	338513	KeyPress	None	None	None	None	F	None
part2part2	338680	KeyPress	None	None	None	None	Space	None
part2part2	338838	KeyPress	None	None	None	None	I	None
part2part2	338913	KeyPress	None	None	None	None	N	None
part2part2	338996	KeyPress	None	None	None	None	S	None
part2part2	339304	KeyPress	None	None	None	None	R	None
part2part2	339688	KeyPress	None	None	None	None	Back	None
part2part2	340461	KeyPress	None	None	None	None	T	None
part2part2	340644	KeyPress	None	None	None	None	U	None
part2part2	340721	KeyPress	None	None	None	None	R	None
part2part2	340969	KeyPress	None	None	None	None	C	None
part2part2	341177	KeyPress	None	None	None	None	T	None
part2part2	341261	KeyPress	None	None	None	None	O	None
part2part2	341361	KeyPress	None	None	None	None	R	None
part2part2	342071	KeyPress	None	None	None	None	Tab	None
part2part2	349748	KeyPress	None	None	None	None	G	None
part2part2	349989	KeyPress	None	None	None	None	E	None
part2part2	350064	KeyPress	None	None	None	None	R	None
part2part2	350155	KeyPress	None	None	None	None	M	None
part2part2	350639	KeyPress	None	None	None	None	A	None
part2part2	350713	KeyPress	None	None	None	None	R	None
part2part2	352346	KeyPress	None	None	None	None	None	None
part2part2	353592	KeyPress	None	None	None	None	Back	None
part2part2	354091	KeyPress	None	None	None	None	Back	None
part2part2	354124	KeyPress	None	None	None	None	Back	None
part2part2	354158	KeyPress	None	None	None	None	Back	None
part2part2	354191	KeyPress	None	None	None	None	Back	None
part2part2	354224	KeyPress	None	None	None	None	Back	None
part2part2	354257	KeyPress	None	None	None	None	Back	None
part2part2	354291	KeyPress	None	None	None	None	Back	None
part2part2	354324	KeyPress	None	None	None	None	Back	None
part2part2	354357	KeyPress	None	None	None	None	Back	None
part2part2	354390	KeyPress	None	None	None	None	Back	None
part2part2	354423	KeyPress	None	None	None	None	Back	None
part2part2	354457	KeyPress	None	None	None	None	Back	None
part2part2	354540	KeyPress	None	None	None	None	None	None
part2part2	354705	KeyPress	None	None	None	None	G	None
part2part2	354879	KeyPress	None	None	None	None	E	None
part2part2	354951	KeyPress	None	None	None	None	R	None
part2part2	355077	KeyPress	None	None	None	None	M	None
part2part2	355293	KeyPress	None	None	None	None	A	None
part2part2	355394	KeyPress	None	None	None	None	R	None
part2part2	355752	KeyPress	None	None	None	None	None	None
part2part2	355844	KeyPress	None	None	None	None	R	None
part2part2	356842	KeyPress	None	None	None	None	U	None
part2part2	356987	KeyPress	None	None	None	None	D	None
part2part2	357098	KeyPress	None	None	None	None	O	None
part2part2	357292	KeyPress	None	None	None	None	L	None
part2part2	357743	KeyPress	None	None	None	None	F	None
part2part2	358051	KeyPress	None	None	None	None	OemPeriod	None
part2part2	358184	KeyPress	None	None	None	None	C	None
part2part2	358325	KeyPress	None	None	None	None	O	None
part2part2	358383	KeyPress	None	None	None	None	M	None
part2part2	358983	KeyPress	None	None	None	None	Tab	None
part2part2	360524	LeftMouseClick	None	445	357	None	None	None
part2part2	361307	LeftMouseClick	None	429	394	None	None	None
part2part2	362140	LeftMouseClick	None	435	419	None	None	None
part2part2	364012	LeftMouseClick	None	464	655	None	None	None
part2part2	365154	LeftMouseClick	None	427	455	None	None	None
part2part2	367170	LeftMouseClick	None	947	78	None	None	None
